label,text,human_attention
0,"$4.95 for more hotdog bun than actual hotdog? I don't think so. I was still hungry after we left here and it wasn't even that good! My boyfriend and I had finished our 'food' by the time the other couple we were here with got their food. 
I'd rather go to Costco and get four of their huge hotdogs for the price of this one gross one.",1 1 1 1 1 1 1 1 2 2 2 2 0 1 2 3 0 0 0 0 0 0 3 2 2 3 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0
0,"$5 to a valet who made it clear that he wanted the money upfront. $16 for a two inch piece of not too fresh salmon and a fingerling potato sliced into two pieces. A harried waitress who forgot to serve bread.

There are too many other venues for lunch in the area to tolerate any of this.

This was a very nice place initially, but it's gone downhill.",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 2 2 0 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 1 2 2
1,"2nd time there and still love this place!  Must go when you're in Oakville!  

1st time, we order something off the brunch menu.

This past Thursday when we were their for lunch, love their sandwiches, huge portion, had to bring half home.  

I just love the vibe of the place, always busy and full of energy!",0 0 0 0 2 3 3 3 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 1 2 2 0 0 1 1 1 0 0 2 2 2 0 0 0 1 1 0 1 1 1
1,"4.75 stars.  

This is our stop prior to taking off from Pearson, always and it never disappoints.  
Always fresh and tasty.  Need I say more??

Ok, I'll give that it's a bit pricey if you compare it to your local Timmies but that would be an unfair comparison.  

Try the blt and sweet potato fries.  Itz nize...!",2 2 0 0 0 0 0 0 0 0 0 0 1 1 2 2 2 3 3 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 3
0,7pm Thursday 8/30. OUCH! I guess the chef was not there that night. Pad See Eew Chicken was nasty... My Thai wife was stunned how bad it was. Some white guy standing at the POS system (register) all night. Maybe it was just an off night.  No Chang Beer sold out. Hmmmm. The servers pretty good that's about it.  We will not be going back....,0 0 0 2 0 0 0 0 0 1 0 0 0 1 1 1 1 0 3 1 1 1 0 1 1 3 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 1 1 1 1 2 2 1 0 0 0 0 0 0 0 1 1 2 0 1 1
1,A cute little italian resturant that was quite tasty and inexpensive!! I had orderd the cheese ravioli and it was amazinf for $7 you got a huge plate and a delicious bread stick as well!! I will probably never order the pizza as for the price is  a little spendy but will definitley order the ravs again!,0 3 0 0 0 0 0 2 3 1 3 0 0 0 0 0 1 0 0 0 3 0 0 0 0 0 3 2 0 0 3 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 2 2 2
0,"A friend of mine recommended this place.So I wanted to give it a try for myself and my wife. Ordered some breakfast when we received it, it was cold there bread tasted very stale and drythe coffee was lukewarm.  Not sure why my buddy recommend this place but I will never eat here again.  and the girl was snotty when I gave my opinion of the breakfast.",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 3 0 2 2 2 3 1 2 2 2 2 0 0 0 0 0 0 0 0 0 2 2 2 2 2 2 0 0 2 2 3 0 0 0 0 0 0 0 0
1,A go to Sandwich shop near Baldwin. Sage is a cafeteria style soup-n-sandwich joint in an old house on McCaul. Grab one of the tasty wraps and head to a table in the back. In an area of the city without too much character (at least for restaurants) Sage is a nice place for a casual lunch out during the week.,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 0 0 0 0 0 0 0 0
1,"A good place to study and hang out. Nice decor inside, and it's also pleasant to sit by the huge open window at the storefront in the summertime. The fact that this place is open from 6am to midnight is incredibly convenient. Overall there is usually a good balance of people who are meeting friends and people who are studying/reading/working, which creates a quiet, but lively atmosphere.",0 2 2 1 2 1 2 2 2 2 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0 0 0 0 0 2 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 2 2 2 2
1,"A great place for sushi. Service is hit and miss but if you're in on a good day you can be in and out in 30 minutes.  The food had always been fantastic here (a bit pricey), we've been coming here for over a decade.  The salad dressing is awesome! Free fried banana and if the service is slow they usually give some freebies during the wait.",0 3 3 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 2 2 3 1 0 0 0 0 0 1 1 1 1 1 1 0 1 1 1 2 1 1 1 0 0 0 0 0 0 0 0 1 1 2 1 1 1
