label,text,human_attention
1,"A little ""slice"" (pun intended) of NY in Vegas! This is some tasty pizza and highly customizable, great for splitting with friends. Lots of selection if you don't happen to be in the mood for a triangular piece of heaven. 

I've been here a few times now and have never had a bad experience. The slightly crunchy thin crust pizza is cooked perfectly each time; it's great but not super filling or overwhelming like some pizza can be. From peppers to pineapple they have any topping you desire. They use fresh mozzarella on the pizza so it's not oozing with a thick layer of cheese (a positive in my book), rather there are spots of cheese all around the pizza. The salads are enormous and wonderful. My favorite is the Caprese. You'll definitely want to share one of those bad boys. 

The outdoor seating is awesome when the weather is right and the indoor seating feels like an Italian grandmother's kitchen, dough flying through the air and pizza ovens hard at work. There's also a little bar with TV's you can plant yourself at as well. The staff is very nice and attentive. A great outing for lunch or dinner!",0 0 0 0 0 0 0 0 0 0 0 0 3 1 0 0 2 2 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 2 3 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 3 1 3 1 2 2 1 1 1 1
1,"AGHHHH This place is GREAT! I'm not as big of a fan on their Sunday brunch though, but everything is great, especially their TAPAS!!!

Last time I went there, I re-orgasmed over and over again. You have to try their steak tips tapas dish. Hopefully it's still there. As the steak tips met my lips, my heart began to sing, and fairies and sparkles started falling out of the sky in a beautiful, sexy, and delicious array of love. It was so good, I wanted to regurgitate each bite, just so that I could taste the deliciousness once again. It also had smoked bacon and feta mixed in, which made me want to take off my clothes and dream of simpler times. 

PLEASSEEE, please go here, and try to stick with tapas, their regular food is good, but their tapas are ahhmazing!!! only downfall though? Pretty expensive-i think we might've blown about $100 on tapas and there were only three of us.

Anyway, 

please go here and indulge on what may be a gateway to a magical land of rainbows and smiles, and angels singing to you as wish that the chef could accompany you along the path of life.",0 1 1 1 3 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 3 0 0 1 0 0 0 0 0 0 3 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 1 0 1 1 1 1 0 0 1 0 0 3 3 0 3 2 1 2 0 0 1 3 0 0 0 1 0 0 0 0 0 0 0 1 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 1 0 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 2 1 0 2 1 2 0 1 1 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0
1,"AMAZING and not hard on the wallet! 
We went here wanting some good chinese food, without shelling out our entire mortgage payment for the other fancy chinese place here in MGM. So glad we did. Has to be some of the best food Ive ever had. I really wanted the General Tso's chicken, but I cant ever eat it because I cant have even slightly spicy food. I mentioned this and the waiter said ""we will make it for you, not spicy at all"". So you can tell here everything is made from scratch! And it was delicious!! We also had the crab fried rice, AMAZING. And so ""clean"" feeling. You didnt walk out of there feeling nasty and all weighed down by preservatives. Sake was good as well. Between my husband and I we shared those 2 plates as our meal and still left food on the table. Their portions are big. Dessert menu was great, but we were just too full from dinner. Out of all the places in Vegas we went all week, this was by far my most favorite meal. Its quiet and calm in there too, perfect for a ""date night"" without breaking the bank!!",0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 3 0 0 2 2 0 0 0 0
0,"Absolutely disgusted and disappointed with a recent experience at Marben.  I called for a reservation 2-3 weeks in advance for myself and 8 business colleagues from out of town.  The reservation was booked and I was assured a great spot in their ""hot box"" (apparently this is something special).  When I called the morning of our reservation to confirm, the guy tells me they are closed for renovations!  I then frantically tell him about my reservation.  He puts me on hold and never returns.  I call back and of course he avoids my call and it goes into their message service.  Here's the thing, the outgoing message stated nothing about renovations occurring.  WTF?!  Who does this? If it wasn't for me calling the day of the reservation to confirm, it would have been disastrous for me, (i.e. me and 8 fellow senior execs from out of town showing up to a restaurant that's closed). How embarrassing!  Thank God for le Select Bistro. We booked there instead and had a wonderful experience.

Marben: Ya blew it with a passionate Toronto foodie.  Not only will I never visit, but will tell my network to avoid a restaurant with atrocious, uncaring customer service!",2 3 1 3 1 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 2 2 1 1 1 1 1 1 1 1 1 1 3 3 3 3
0,"After going there recently for lunch, I'm really surprised at the overall 4.5 star rating. We got two sandwiches, two drinks, and a side of hashbrowns that was just a thin potato patty ($2 extra!) for $36. It was insanely expensive for what we received. 

Neither of us liked our meals. I got the salmon, onion, cream cheese, caper bagel sandwich. Everything about it was clunky. The onions were cut too large, the salmon was not the highest quality and it was also cut into huge pieces. They use a heavy cream cheese instead of a nice light whipped cream cheese that was spread so I thick, I had to take some off.  Not one ingredient in that sandwich was of high-quality and everything kept falling off. It was like a teenager with no food prep skills was in the kitchen that day.  I saw the two people making food that day...and they weren't teenagers.

Not to be mean, but their name on that day could've been 'clunk box.' The pictures on their menu are much better looking than what they're actually serving. I'm giving two stars for the location and the cashier who was incredibly friendly, helpful, and bubbly.",0 0 0 0 0 0 2 2 2 2 2 2 2 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0
1,"After wassailing between 4 and 5 stars, it seems 5 stars is much more appropriate considering the group didn't eat one thing they didn't like and we ate there two nights in a row. 

One of Tom Colicchio's feature restaurants doesn't simply aspire to make great food. They start the diner off with an extensive wine, whiskey, beer and alcohol menu. Although very few wines find themselves south of $100 a bottle, a few great buys can be found to complement the meal. And if you are a scotch, bourbon, whiskey kinda guy (or gal), the list is almost too exhausting to review. 

As far as the food, in one word, decadent. From the charcuterie plate that could be a meal in and of itself to the whipped potatoes that seemingly have as much butter/cream as potato (in a good way) to the baby carrots drizzled in local honey to the steaks (all phenomenal, but we split the Wagyu Flat Iron), the group enjoyed every bite. Add a finishing layer of monkey bread, a cinnamon roll on steroids with velvety scoops of ice cream, and you may just need to retire early instead of testing your skills in the casino.",0 0 0 0 0 0 0 0 0 2 2 2 2 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 3 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1,"Airport concession stands are notorious for taking advantage of their clients.  They know they have a captive market and the people being held prisoner by TSA cannot leave the terminal easily to get real food.   So they serve the cheapest, highest profit margin food that is barely edible but good enough so the health department isn't called in daily. 

However a new trend has developed because of this....main stream restaurants are now opening up storefronts at the terminal serving excellent food and catering to the demand of the passengers because the airlines have stopped serving food in coach.

ASAP California Pizza Kitchen is one of these new storefronts and is EXCELLENT.

I had the grilled BBQ chicken salad.   On a bed of lettuce were chuncks of BBQ chicken, diced tomatoes, corn, black beans, onion, lots of thin tortilla strip chips.     Overall a very tasty meal.

I also noticed the sandwiches which were served on focaccia type of bread.   People around me eating them were very pleased with the quality.

In addition, the flight attendants on board the plane highly recommended ASAP.    They especially liked the Oriental Chicken Salad.

Overall 4 solid stars for a great airline meal to go place.",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 2 3 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 1 1 1 0 0 1 1 1 1 1 1 1 2 2 1 0 0 1 0 0 0 0 1 2 2 2 1 1 3 2 2 1 1 1
1,"Another one of my favorite places that I have to fight off the urge to eat there three times a week. I want to be careful not to get sick of it which would be devastating!

I love the yellow curry/pork and the pad Thai/pork. Ordered many times, consistent and very good! 

I have found that pad Thai is the key to a good Thai place. Been to many all over the place. Some places it just looks, off, and smells, hmmmm off, but this particular place it is just ""fresher"" I don't know how to describe it. This place serves as my standard for pad Thai quality so yes, good food and love it.

Also, ordered the fresh rolls many many times. The ones with avocado (girlfriend doesn't like meats) we have had many times. Huge and very yummy. I like the open end with the lettuce hanging out, nice touch because you can see that the fresh roll is in fact ""fresh"" before you even bite into it. Love it.

Recommended! There are other locations, not positive about affiliation, but I always go to this one and never disappoints. 

Staff and location is fine. Good energy in here.",0 2 2 2 3 2 0 0 0 0 0 0 0 0 0 1 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 2 0 1 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 2 2 2 1 2 1 3 1 1 1 1
1,"As you drive down Main St USA, you look to your right.  You see a McDonald's with their Big Mac.  Look to your left and you see a Burger King with their Whopper.  Down the street and around the corner is a Wendy's with their Chicken Nuggets and Triple Double Classic.  Sonic is turning out dog meat on a bun, and you are not satisfied with your choices.

Once you get to the end of the street you see a different kind of place.  A place where the marketing machine of Madison Ave hasn't touched it.  It is a piece of Americana, all but extinct except for our part of town.  Our Cleveland.

Swenson's is as good as it is nostalgic.  A simple Drive-In joint.  Take away the catchy jingles about ingredients, the stupid crown, and Dave Thomas and you find an authentic hamburger.  It will not have you thinking where is the beef.  It will have you thinking, where is my pen so I can write a thank-you note to the car hop who ran to your car to make sure you got prompt service.

I say flock to this place, get a Galley Boy and a chocolate shake.",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 1 1 1 1 1 1 1 0 0 0 0 1 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 3 3 0 0 2 1 1 1 1 0 0 0 0 0 0 0
0,"Attached are photos of the server smoking and playing on his phone outside of the cafe while there were three tables of customers inside.

From the reviews this place has gotten, we were quite excited to try it but were disappointed by its lack of attention to detail or customer focus.

The server that was on duty was playing on his phone most of the time. We ordered a few appetizers, didn't get sharing plates, or spoons. When we wanted more napkins and looked for him, we found that he was outside smoking and playing on his phone. 

We took the hunt into our own hands, but really couldn't find any napkins anywhere. We waited for about 5 more minutes then we grabbed him from outside.

Definitely don't think that this is the typical experience the cafe wants to offer, however it's quite horrendous when the person who's supposed to be manning the place just leaves the building and the customers within it... to smoke?! 

And last but not least, the food and drink were just okay. The glassware they used also had a giant crack on it. Hopefully the management of the cafe can turn the place around quickly.",0 0 1 0 0 1 1 0 1 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 2 2 3 3 1 2 1 2 2 0 1 0 0 0 0 0 1 1 0 1 1 1 1 1 0 1 0 1 1 1 1 1 1 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 1 0 0 1 1 1 0 0 1 1 1 1 0 1 1 0 0 0 0 1 1 0 1 1 0 1 0 0 2 2 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 1 1 1 1 1 0 0 0 0 0 0 3 2 3 3 3 3 0 1 0 0 0 0 0 1 1 0 0 2 1 2 1 1 2 2 2 1 2 2 2
