label,text,human_attention
0,"""Famous For Ribs""  Famous for what?  These were the worst ribs I have ever had!  The meat was dry and chewy.  They were also very thin.  I had the dirty rice which was ok.  The mac and cheese was tasty.  The staff was friendly.  With Memphis BBQ in town, I have no reason to return to Tony Roma's.",0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 0 1 1 1 1 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0,"$14 pints, they must be taking the piss?  Sure it's on the strip and next to the mall, but there are other beer bars in close proximity that are not this avaricious.  Yes, the food is solid, but no food is solid enough to justify such hefty beer prices.  Fleece the punters whilst you can, because once the economy goes through another downturn this place will disappear.",2 2 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 3 0 0 0 0 0 0 2 2 2 2 2 2 2 2 3 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1
0,"$3.79 for 8 cold tater tots. Are you kidding me? We ordered 2 orders (I almost only got one, thinking that it would probably be enough) and therefore spent over $8 (with tax) for 16 tater tots. That were cold. And bland. It left such a bad taste in my mouth (figuratively and literally) that the sandwich was probably better than it seemed. No interest in returning.",0 0 0 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 2 0 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1
1,"'Must go' stop in Vegas!  Greeted relight at we walked in the door.  Super friendly staff.  Husband ordered Corn Beef Hash, says 'it's excellent!"".  Pancakes are bigger than the plate and home made.  My Chicken Fried Steak and Eggs was amazing and more than I could eat, coffee was always full and hot.  Great place overall!",2 2 0 0 0 0 0 0 0 0 0 0 0 2 2 0 0 0 0 0 0 0 0 2 1 1 1 1 1 1 0 1 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 1 2 1 1 3 2 2
0,"02/16/2016 I went this place with my girl and her friend 
We order foods and wait long time
After served food they never come to table and ask what we need and even they didn't ask what's the spicy level
Foods not even good and rice over cocked 
This management must be more pay attention for this business.",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 2 0 0 0 0 2 2 0 0 1 1 1 1 1 0 0 0 1 1 0 0 0 0 1 2 2 2 0 1 2 2 0 2 3 2 2 3 3 1 1 1
0,"1 word sums up the food at this Richmond Court location. Bland.

Go to the highway 7 location instead. After eating at the Bur Oak one, I'm not surprised why it's like a ghost town at 8pm while the highway 7 location is always full. 

Service was good though. Probably because there were only 2 tables of customers including mine.",0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0,"2 out of 5 because food is fairly good and coconut bubble tea is the best (made of frozen coconut chunks blended with their special recipe). But found hair on our mango salad twice now. Once there was a strand, second time there were 2 small strands (looked like from a scrubber)",1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 3 2 2 3 3 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0,"2 stars in generous.  Of our table of 5 people we had 4 incorrect drink orders and for an Irish pub I don't believe ""Jameson neat"" should be a difficult thing.  The burger was over cooked and the service took over 20 minutes per drink.  I might try again in 6 months.",1 1 1 1 0 0 0 0 0 0 0 0 0 2 1 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 1 3 3 0 0 1 1 1 1 1 1 1 0 0 0 0 0 0 0
1,"2nd visit.  Excellent food, very small portions and terrible seating arrangements! Its a very small place. We called ahead for a party of 3. There were two tables of 2 finishing up, and rather than put it together to seat us,  they sat 2 parties of 2. I guess they want the two tables of tips!!! We were forced to wait for a party of 8 to finish.....it's 30 mins and still counting",0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1,"A buddy of mine had gone there recently and I was very impressed with service. Our server was very friendly and made sure that we were taken care of quickly when we needed a drink. The wings are the best I've had here in the valley. I also had the philly cheese steak, which I wasn't impressed with but the wings made up for it.",1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 1 2 2 3 3 1 1 1 1 1 1 2 2 2 2 1 1 1 1 1 1 2 2 2 2 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1,"A great place to go to high end special occasion dining. The steaks were cooked perfectly and substitutions for some of our diners were handled well. The lobster bisque is very good and alcohol prices for wines by the bottle are reasonable. The staff was accommodating and competently handled the range of ages in our party. I've dined here several times and while not inexpensive, they never disappoint for fine food with celebrations.",1 3 3 3 3 1 2 2 2 2 2 1 2 1 3 3 0 2 0 0 0 0 0 0 2 2 0 2 2 1 3 3 0 2 2 1 1 0 0 1 1 3 0 2 2 3 2 2 2 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 1 2 2 0 0 0 0 0
1,"A hidden gem along St. Joseph Street. My favorite sushi place in the neighborhood. Good quality sushi. I love their sashimi, Uni Don is amazing. The owners and staff are very friendly, and their service is excellent. I've been coming to this place since 2003. I must admit, their prices has gone up and the portions are a bit smaller now. However, the level of quality stays the same.",0 1 1 0 0 0 0 0 1 0 0 0 0 0 3 3 1 0 1 0 0 0 0 0 2 0 2 1 2 0 2 3 0 0 2 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1
1,"A real East coast neighborhood Italian feel. Godfatherish. I fully expected to see Frank or Dino in the next booth. Not a tourist joint. I loved the atmosphere lots of families, birthdays, just regular people. Food was good, not great. Entertainment and atmosphere made up for it. We  went on Sunday, half price wine night. Very enjoyable experience.I would recommend it. Prices reasonable.",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 1 0 0 0 0 0 0 0 1 1 3 1 1 3 2 3 3 3 3 3 0 0 0 0 0 0 0 0 2 3 3 3 3 2 3 3
1,AMAZING!!  We eat here every time we go to Vegas and every time it is AMAZING.  The portions are substantial and the prices are reasonable.  The ambiance is fabulous and beautifully decorated.  Our service is always excellent.  I ordered a caesar salad which was wonderful and then had the gnocchi. I at ate every little bit!!  This place has to be the best dinner on the strip.  LOVE IT!,2 1 1 1 1 1 0 0 0 0 0 1 1 1 1 1 0 1 1 1 0 0 2 2 2 0 1 1 1 0 2 2 1 2 1 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 2 2
1,AMAZING!! Best sushi in all of Vegas..chef Jon creates the most decadent food. Since coming here and getting great service and awesome food I have not even tried another sushi home. Chef Jon is amazing to loyal custies. I've been completely satisfied since coming here. Thank you chef Jon for always taking care of me when I come in.,3 2 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 3 1 0 3 1 0 0 0 0 0 0 0 0 1 1 1 3 0 0 0 0 0 2 3 0 0 0 1 1 0 0 0 0 1 1 0 0 0 0 0 0
