label,text,human_attention
0,"6ppl had to wait 40 min+ before we got any food. we had made reservation too. also had ordered two samosas which didn't come until after entrees arrived; in addition, we had to remind the waiter that we were missing one samosa. in conclusion, food was good; experience was 2/5.",1 1 1 2 3 3 1 1 1 1 1 0 0 0 0 0 0 0 1 1 1 0 2 2 0 1 1 1 0 0 0 0 0 1 1 1 0 0 1 2 1 1 0 0 1 1 1 2 2 3
0,A colleague and I arrived at the hotel late and grabbed a burger here. I wouldn't recommend it and the service was meah at best. We reluctantly wen't back after a long day of meetings and had the same experience. Save your time and go to the Grand Lux instead.,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 0 0 0 2 1 3 0 0 0 2 1 1 0 0 0 0 0 0 1 2 0 2 2 1 1 1 0 0 0 0 0 0 0
1,"A five star rating is well deserved! My experience from the moment of arrival was top notch. The staff was friendly and our waiter Theo V was attentive, helpful and super friendly. Sushi, cocktails and of course the view of the fountains was the best way to dine in Vegas.",1 3 3 3 1 2 3 0 0 0 0 0 0 0 0 2 2 0 1 0 2 0 0 1 0 0 0 2 2 0 1 2 1 1 0 0 0 0 1 0 0 1 0 0 2 1 0 1 0 1
0,A little disappointed in the service tonight. I purchased  combo meal and asked for a strawberry soda and got a fruit punch instead. I didn't realize the mistake until I left and I was in no mood to go back. And my chicken sandwich was piled with mayo  Do better!,0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3
0,Absolutely Rude. I made a reservation for a surprise birthday celebration. The hostess said they are unable to seat us until all people in party arrive. Ridiculous they were unable to accommodate. Poor customer service. 1/2 star Just lost my business. I almost am going to email there corporate office.,1 3 0 1 0 1 0 0 0 0 0 0 0 0 0 0 2 0 2 1 1 1 1 1 1 1 2 0 0 1 0 1 3 2 2 2 2 2 3 3 3 0 0 0 2 1 2 1 2 2
0,"Absolutely horrible service, when we entered the hostess gave an audible sigh like we were inconveniencing her with our presence.  We were seated for over 10 minutes and never had a server come to even take drink orders.  Needless to say we left, and we will not be going back.",0 3 2 0 0 0 0 0 0 0 2 2 0 0 0 3 1 1 1 1 0 0 1 1 2 2 2 0 2 1 0 1 1 0 1 1 1 1 0 0 0 2 3 0 1 2 3 1 2 2
1,"According to my friend, this local bar type place rocks.  Food is always good, it's cheap, atmosphere is great and had a good conversation.  They grill the burgers right in view of you as you're ordering.  They also cook your burgers over charcoal so it gets real flavor in them!",0 0 0 0 0 1 1 1 1 2 1 0 2 3 0 3 3 0 3 0 0 0 2 2 0 1 0 1 1 0 1 1 1 0 0 0 0 1 1 1 1 1 1 1 1 1 2 2 1 1
0,"After living here for 15 years, there are so many quality Mexican restaurants that are far superior.  Street tacos are overpriced, service was sub par, and when you have to request chips and salsa at a Mexican restaurant you may need to rethink your choice.  The atmosphere is cool though.",0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 1 1 0 0 0 3 1 1 3 2 0 0 0 1 0 1 1 0 1 0 0 1 1 0 1 1 0 2 0 1 0 0 0 0 0
1,All wait staff was super friendly. Chef/owner even came over to chat with some fellow Chicago-ans. The salmon was phenomenal and the chocolate bread pudding was to die for. Highly recommend this restaurant. Love love love. Wish I lived in Arizona to be able to visit this place more often.,0 1 1 1 1 3 2 0 2 1 2 2 0 0 0 0 0 1 1 3 0 0 1 1 1 2 2 3 3 3 3 1 1 3 3 3 1 0 1 1 1 0 0 0 0 0 0 0 0 0
0,"All you need to know is DRIED AND BLAND. My burrito tasted like cardboard. If you've placed cardboard in your mouth, you know what I mean. Texture was similar too. 

Oh and they forgot my order. I stood there for 10 mins then someone realized I didn't have my order.",0 0 0 0 0 0 3 0 3 0 1 2 2 3 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 3 2 2 0 1 1 1 1 0 1 1 1 0 1 1 1 1
0,"Always packed for lunch.  Probably because Pittsburgher's love greasy hoagies.  If that's what you're into, then you'll probably love this place too.  Not my cup of tea.  I ordered one of the ""ligther"" options and it was still full of grease and it left me with a nasty stomach ache.",1 1 1 1 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 2 2 2 2 2 0 0 0 0 0 0 0 0 0 0 1 2 2 3 0 0 1 1 1 0 3 2 2
1,Am amazing dining experience! The dinner is centered around your food desires. The chef creates interesting dishes using a wide variety of ingredients. The waitress was very helpful with pairing wines. Overall this was a wonderful date night and I can't wait to go back again to try new dishes.,1 3 1 1 0 1 0 1 1 0 1 2 0 1 1 2 1 0 0 0 1 0 0 0 1 0 0 3 0 1 1 0 0 0 0 3 1 1 0 0 1 1 1 1 1 1 0 1 1 1
1,Amazing find in downtown Las Vegas. Totally did not expect such a great atmosphere and fantastic food. Order out of the ordinary. The menu is both traditional and modern. Go for the modern. The traditional was great. The modern was out of this world. Best service. I will go back.,3 2 0 1 1 1 0 0 0 0 0 0 3 2 0 3 2 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 1 1 3 0 1 1 3 3 3 3 3 2 0 2 2 2
0,"As I waitied over 15mins for a personal pan pizza as a walk in, I saw the cashier handle cash, cards, and the register then would go in the back and help make pizza without washing his hands!!!! And 3 more employees who were working did the same. So disgusting",0 0 1 0 1 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 3 3 2 3 0 1 1 1 0 0 0 1 1 1 1 3
0,"As far as McDonald's is a paragon of consistency and management by numbers, at least this location is consistent in getting our orders wrong. In my 30+ years of patronizing the franchise, this one location accounts for more wrong orders than all the rest combined. Management needs to educate here.",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 2 0 0 0 0 0 0 0 0 1 1 1 1 1 1 3 3 1 1 1 0 1 2 2 2 3 1
0,Awful. Bad food. Chicken wings came out bloody. I was never asked how O wanted my burger. They just brought it to me. Food is pre-made somewhere else. We had to flag down server for refills or just to notice us at all. Never eat here. You will regret it.,3 3 2 2 2 1 1 3 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 2 1 1 0 1 1 1 1 1 0 0 1 0 1 1 1 0 0 3 2 2 1 2 3 1
0,Bad service. We have five people and they just gave us a table for 4. Then we asked for one more chair they just kept saying 'give me one second' and ignore us. My frd stood in the restaurant for ten more minutes. At last we got the chair ourselves.,3 2 1 1 1 1 1 1 1 1 1 0 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 2 0 2 2 1 0 2 1 2 2 2 0 0 1 1 1 1 1
0,"Bd location, avoid it, we stopped eating in when the waitress spilled gravy on me, and we have the misfortune of being close enough that they are our delivery store.
They screwed up the last 2 orders (forgot the gravy, then the Greek Salad) from now on I'll order pizza.",1 1 3 1 0 1 1 0 0 0 1 2 2 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 3 3 0 1 1 1 0 0 0 0 0 0 0 0 1 1 1 1 1
1,"Been coming here since it was Tokyo Express. Not much has changed either. The meals are awesome. You can't go wrong with anything on the menu. My fav is teriyaki chicken lite, spicy with brown rice.  Side of steamed veggies and an unsweetened tea to wash it down. Good stuff!",0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 3 1 2 2 2 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2
0,Been here twice. Long wait time and tables are always dirty. Came here with the place basically empty and all the tables still had plates in them. Really disappointed in this place. All I wanted to do is eat while I was drunk but instead this disappointment made me sober.,0 0 0 3 3 2 0 2 1 2 2 0 0 0 0 2 2 3 0 0 0 2 2 3 3 1 1 2 3 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 1 1
1,"Best Greek food I've had in Toronto!

Servers are prompt, friendly and engaging-  and the pork souvlaki is second to none in my opinion. I held my birthday party here not too long ago and that was a positive experience as well.

Thanks for the great food and experiences, Astoria!",3 2 2 1 1 1 1 1 0 3 3 0 3 0 0 1 1 1 2 2 2 0 0 0 0 1 1 1 1 1 0 1 1 0 0 1 1 1 3 2 0 1 1 0 0 3 2 1 1 0
1,"Best Pizza in Phoenix...Period!! 

Sweet sauce. 

Crispy crust. 

Never have had a bad experience here and I have been here at least 10 times. Staff is always welcoming and polite. Also if you happen to have room at the end of your meal order the fresh baked chocolate chip cookies.",3 2 0 1 1 1 1 1 1 1 1 0 1 1 1 0 0 0 0 0 0 0 0 0 2 1 1 3 1 3 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 1 1
1,"Best burger I've had yet! 
I had the farm burger which comes with ""duck bacon"" that didn't sound too good, but was 100% delicious bacon. Fried egg need i say more?  The truffle fries where great with the house ketchup, but the truffle sauce was heavy and taste like mayo",3 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 1 1 1 1 1 1 1 0 1 1 0 3 1 0 1 1 0 0 0 0 0 0 0 0 0 0
1,"Best coffee house in Vegas, hands down. They have it all, from basic to exotic imports that vary weekly, not to mention every conceivable manner in which to brew coffee. Ambiance is awesome and great for working or people watching or listening to the variable live music in the evenings.",3 2 2 0 1 1 1 0 2 2 2 0 1 0 1 1 0 0 0 0 0 0 1 1 1 0 1 0 1 1 2 0 3 0 3 0 1 0 1 1 0 1 0 0 1 1 1 0 0 1
1,"Best thing about this Starbucks is the people.We have 3 Starbucks in this area the one I'm reviewing is inside Safeway.The people are consistently nice,polite and their manager is a very nice person.Getting my fussy order is never a problem.Starbucks is also inside Frys,outside of Frys shopping center facing Baseline.",1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 2 3 1 1 1 1 0 2 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1,"Beth was our server tonight! SHE IS AMAZING! On point!! From the moment we sat down she had gone over the drink menu. She was prompt and attentive! The whole ambiance was perfect, dim lit lights all the way to the music. We really enjoyed ourselves! We will defiantly return!!!",1 1 1 1 1 1 1 3 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 3 0 1 2 1 3 1 1 1 0 0 0 0 0 1 0 1 3 1 0 1 2 2
0,"Bought an iced coffee with the expectation of being able to drink it and silly me... It wasn't drinkable. One sip and I swerved over to the closest dumpster to dispose of it. Not only the worst coffee I've ever had, but the literally the worst drink I've ever had.",1 0 1 1 0 0 0 0 1 1 0 1 0 0 0 0 0 3 3 0 0 1 1 1 1 1 1 0 1 1 3 1 2 0 0 0 3 2 1 1 1 0 0 1 1 3 2 1 1 1
